,Unnamed: 0,gene_clusters,localization_score,clustering_rank
1141,Lgals1,3,2.913728913397141,77.01933
1142,H1f0,0,3.0062701914779733,13.574642
1143,Ddx17,0,2.614685032357607,11.7495165
1144,Sun2,0,3.644257857762789,12.534493
1145,Apobec3,4,4.063392452702999,31.126356
1146,Cbx7,0,3.0357677726418357,9.700245
1147,Grap2,0,2.660725835894166,5.849942
1148,Tnrc6b,0,2.870045098936828,9.346857
1149,Ep300,0,2.6659235818184115,10.61423
1150,Tef,0,3.928983138647258,7.9437313
1151,Tob2,0,2.9607195458839914,7.3798957
1152,Smdt1,2,2.799180981853311,48.949917
1153,Tspo,4,2.2313423245034603,42.420647
1154,Gramd4,3,3.003362106291368,5.990147
1155,Scaf11,0,2.8137685684432765,20.912025
1156,Slc38a2,0,3.3975321015111555,12.807322
1157,Pced1b,3,2.859796018705248,9.206031
1158,Kmt2d,0,2.8188340074312377,6.763927
